libxext-dev:arm64	2:1.3.3-1+b2
libxext6:arm64	2:1.3.3-1+b2
libxfixes-dev:arm64	1:5.0.3-1
libxfixes3:arm64	1:5.0.3-1
libxml2:arm64	2.9.4+dfsg1-2.2+deb9u3
libxmuu1:arm64	2:1.1.2-2
libxshmfence-dev:arm64	1.2-1+b2
libxshmfence1:arm64	1.2-1+b2
libxtables12:arm64	1.6.0+snapshot20161117-6
libxxf86vm-dev:arm64	1:1.1.4-1+b2
libxxf86vm1:arm64	1:1.1.4-1+b2
linux-libc-dev:arm64	4.9.240-2
login	1:4.4-4.1
logrotate	3.11.0-0.1
lsb-base	9.20161125
m4	1.4.18-1
mailutils	1:3.1.1-1
mailutils-common	1:3.1.1-1
make	4.1-9.1
man-db	2.7.6.1-2
manpages	4.10-2
manpages-dev	4.10-2
mawk	1.3.3-17+b3
mesa-common-dev:arm64	13.0.6-1+b2
mime-support	3.60
mount	2.29.2-1+deb9u1
multiarch-support	2.24-11+deb9u4
mysql-common	5.8+1.0.2
nasm	2.12.01-1+b1
ncurses-base	6.0+20161126-1+deb9u2
ncurses-bin	6.0+20161126-1+deb9u2
ncurses-term	6.0+20161126-1+deb9u2
net-tools	1.60+git20161116.90da8a0-1
netbase	5.4
ninja-build	1.7.2-1
openssh-client	1:7.4p1-10+deb9u7
openssh-server	1:7.4p1-10+deb9u7
openssh-sftp-server	1:7.4p1-10+deb9u7
openssl	1.1.0l-1~deb9u1
passwd	1:4.4-4.1
patch	2.7.5-1+deb9u2
perl	5.24.1-3+deb9u7
perl-base	5.24.1-3+deb9u7
perl-modules-5.24	5.24.1-3+deb9u7
pinentry-curses	1.0.0-2
pkg-config	0.29-4+b1
po-debconf	1.0.20
procps	2:3.3.12-3+deb9u1
protobuf-compiler	3.0.0-9
psmisc	22.21-2.1+b2
publicsuffix	20190415.1030-0+deb9u1
python	2.7.13-2
python-minimal	2.7.13-2
python-pip-whl	9.0.1-2+deb9u2
python2.7	2.7.13-2+deb9u4
python2.7-minimal	2.7.13-2+deb9u4
python3	3.5.3-1
python3-cffi-backend	1.9.1-2
python3-crypto	2.6.1-7
python3-cryptography	1.7.1-3+deb9u2
python3-dbus	1.2.4-1+b1
python3-dev	3.5.3-1
python3-gi	3.22.0-2
python3-idna	2.2-1
python3-keyring	10.1-1
python3-keyrings.alt	1.3-1
python3-minimal	3.5.3-1
python3-pip	9.0.1-2+deb9u2
python3-pkg-resources	33.1.1-1
python3-pyasn1	0.1.9-2
python3-secretstorage	2.3.1-2
python3-setuptools	33.1.1-1
python3-six	1.10.0-3
python3-wheel	0.29.0-2
python3-xdg	0.25-4
python3.5	3.5.3-1+deb9u2
python3.5-dev	3.5.3-1+deb9u2
python3.5-minimal	3.5.3-1+deb9u2
readline-common	7.0-3
rename	0.20-4
rsync	3.1.2-1+deb9u2
rsyslog	8.24.0-1
sed	4.4-1
sensible-utils	0.0.9+deb9u1
sgml-base	1.29
shared-mime-info	1.8-1+deb9u1
sudo	1.8.19p1-2.1+deb9u2
systemd	232-25+deb9u12
systemd-shim	10-3
sysvinit-utils	2.88dsf-59.9
tar	1.29b-1.1
tcpd	7.6.q-26
tzdata	2020a-0+deb9u1
ucf	3.0036
util-linux	2.29.2-1+deb9u1
x11proto-core-dev	7.0.31-1
x11proto-damage-dev	1:1.2.1-2
x11proto-dri2-dev	2.8-2
x11proto-fixes-dev	1:5.0-2
x11proto-gl-dev	1.4.17-1
x11proto-input-dev	2.3.2-1
x11proto-kb-dev	1.0.7-1
x11proto-xext-dev	7.3.0-1
x11proto-xf86vidmode-dev	2.3.1-2
xauth	1:1.0.9-1+b2
xdg-user-dirs	0.15-2+b1
xml-core	0.17
xorg-sgml-doctools	1:1.11-1
xtrans-dev	1.3.5-1
xutils-dev	1:7.7+5+b1
xz-utils	5.2.2-1.2+b1
zlib1g:arm64	1:1.2.8.dfsg-5
